2014-01-27 11:16:11 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_physician.tpl on line 6
2014-01-27 11:17:56 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 11:20:46 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 11:23:53 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 11:24:45 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 11:27:21 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 13:16:26 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_physician.tpl on line 6
2014-01-27 13:17:10 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 13:19:15 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 13:22:39 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 13:24:30 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 13:24:49 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 13:25:15 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 13:26:14 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 13:26:26 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 13:26:43 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 13:26:49 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_patient.tpl on line 6
2014-01-27 13:27:21 - PHP Notice:  Undefined variable: error_warning in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\account\account_physician.tpl on line 6
